epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,545.578,2.34521,1.25163,0.75357,0.64571,0.56793,0.54133,0.17778,2.2313,1.30376,0.75914,0.00148239,0.00148239,0.00148239
43,558.438,2.33451,1.24282,0.75178,0.63808,0.5753,0.54357,0.18427,2.19874,1.31582,0.76265,0.00145945,0.00145945,0.00145945
44,571.276,2.33375,1.24704,0.75,0.66337,0.62242,0.60668,0.21059,2.14538,1.28502,0.75894,0.00143621,0.00143621,0.00143621
45,584.265,2.30545,1.23328,0.74925,0.71036,0.60519,0.61964,0.2137,2.18192,1.25279,0.75429,0.00141267,0.00141267,0.00141267
46,597.085,2.29334,1.21139,0.74934,0.65218,0.58686,0.57284,0.19364,2.19204,1.29502,0.75915,0.00138886,0.00138886,0.00138886
47,609.905,2.27705,1.224,0.75153,0.68131,0.59757,0.59844,0.20665,2.21897,1.26564,0.75952,0.00136478,0.00136478,0.00136478
48,622.681,2.29903,1.21331,0.74509,0.6488,0.59193,0.58442,0.20152,2.22989,1.28807,0.76027,0.00134047,0.00134047,0.00134047
49,635.458,2.3036,1.22194,0.74868,0.70298,0.61196,0.61541,0.21282,2.17305,1.2696,0.75497,0.00131593,0.00131593,0.00131593
50,648.326,2.33104,1.23634,0.74838,0.63526,0.57417,0.55202,0.18538,2.2131,1.32445,0.7638,0.00129118,0.00129118,0.00129118
51,661.265,2.31447,1.24022,0.74983,0.64632,0.57671,0.56477,0.18504,2.29438,1.32083,0.77449,0.00126623,0.00126623,0.00126623
52,674.055,2.29603,1.22763,0.74726,0.65705,0.59475,0.5895,0.20334,2.15715,1.28087,0.75541,0.00124111,0.00124111,0.00124111
53,686.808,2.26694,1.21639,0.75376,0.69031,0.59447,0.59338,0.20647,2.15734,1.26475,0.75271,0.00121583,0.00121583,0.00121583
54,699.653,2.26116,1.21019,0.74557,0.72374,0.60952,0.62145,0.21423,2.16844,1.25401,0.75683,0.00119041,0.00119041,0.00119041
55,712.396,2.2912,1.2088,0.74286,0.67025,0.59956,0.58963,0.20213,2.18915,1.26796,0.75527,0.00116487,0.00116487,0.00116487
56,725.396,2.30155,1.20036,0.73991,0.70086,0.61117,0.61048,0.21153,2.16612,1.26919,0.75845,0.00113922,0.00113922,0.00113922
57,738.156,2.25739,1.20287,0.75001,0.70076,0.60745,0.61336,0.21652,2.18021,1.24317,0.75249,0.00111348,0.00111348,0.00111348
58,751.021,2.2777,1.19987,0.74625,0.72071,0.61365,0.6178,0.2083,2.186,1.2603,0.75716,0.00108767,0.00108767,0.00108767
59,763.864,2.27834,1.20357,0.74559,0.68593,0.60235,0.59919,0.20771,2.15511,1.26839,0.75807,0.00106181,0.00106181,0.00106181
60,776.745,2.24552,1.18882,0.74486,0.68709,0.60688,0.5998,0.20599,2.16998,1.27835,0.76144,0.00103592,0.00103592,0.00103592
61,789.531,2.22876,1.18688,0.74396,0.67604,0.59927,0.60137,0.20916,2.18296,1.26477,0.75627,0.00101,0.00101,0.00101
62,802.241,2.25848,1.1976,0.74576,0.66834,0.5784,0.57235,0.18925,2.2555,1.30065,0.76901,0.000984085,0.000984085,0.000984085
63,815.032,2.25191,1.18113,0.74364,0.7015,0.59757,0.60285,0.21517,2.14252,1.26961,0.75506,0.000958187,0.000958187,0.000958187
64,827.85,2.23116,1.19577,0.74498,0.6504,0.5784,0.54989,0.1863,2.21167,1.31862,0.75922,0.000932325,0.000932325,0.000932325
65,840.671,2.23978,1.20126,0.74659,0.69376,0.59478,0.5901,0.20212,2.18617,1.27738,0.76051,0.000906517,0.000906517,0.000906517
66,853.51,2.23262,1.19691,0.74632,0.69006,0.59836,0.59095,0.20394,2.18266,1.27037,0.75981,0.000880779,0.000880779,0.000880779
67,866.27,2.22171,1.18971,0.74665,0.69937,0.60773,0.59962,0.20138,2.18037,1.27444,0.76084,0.00085513,0.00085513,0.00085513
68,879.075,2.24016,1.18283,0.73858,0.70645,0.62099,0.61729,0.21229,2.14312,1.26118,0.75238,0.000829587,0.000829587,0.000829587
69,891.729,2.21195,1.18078,0.74919,0.71343,0.59927,0.60812,0.20812,2.15688,1.26427,0.75708,0.000804167,0.000804167,0.000804167
70,904.547,2.23076,1.17838,0.74344,0.70235,0.61754,0.62162,0.21743,2.14949,1.24578,0.75396,0.000778889,0.000778889,0.000778889
71,917.232,2.19271,1.19513,0.74843,0.71503,0.62481,0.63812,0.22215,2.1689,1.23451,0.75322,0.000753769,0.000753769,0.000753769
72,930.08,2.21831,1.18499,0.74393,0.70979,0.62719,0.62496,0.21537,2.14646,1.24891,0.75618,0.000728825,0.000728825,0.000728825
73,942.908,2.20254,1.18751,0.75031,0.70257,0.60039,0.60946,0.2154,2.13438,1.25588,0.75411,0.000704073,0.000704073,0.000704073
74,955.651,2.23045,1.19864,0.74715,0.71314,0.60643,0.61444,0.20955,2.14483,1.24887,0.75338,0.000679531,0.000679531,0.000679531
75,968.481,2.24369,1.19232,0.74256,0.68571,0.58911,0.58895,0.20575,2.15934,1.27598,0.75681,0.000655216,0.000655216,0.000655216
76,981.815,2.20632,1.18094,0.74292,0.70992,0.60857,0.60669,0.21192,2.14973,1.26738,0.75764,0.000631143,0.000631143,0.000631143
77,994.709,2.19924,1.16249,0.74526,0.70465,0.6207,0.61476,0.21669,2.16005,1.25603,0.75705,0.000607331,0.000607331,0.000607331
78,1007.51,2.19843,1.17212,0.7462,0.71983,0.62267,0.62515,0.21912,2.14939,1.25006,0.75369,0.000583794,0.000583794,0.000583794
79,1020.33,2.18782,1.15634,0.74089,0.71459,0.61732,0.62053,0.21686,2.14583,1.25143,0.75397,0.000560549,0.000560549,0.000560549
80,1033.12,2.21598,1.17858,0.74292,0.71183,0.6176,0.62314,0.21869,2.12377,1.25012,0.75452,0.000537613,0.000537613,0.000537613
81,1046.18,2.21556,1.16456,0.7378,0.71544,0.61252,0.61106,0.21234,2.14959,1.26157,0.75757,0.000515,0.000515,0.000515
82,1059.18,2.19756,1.16081,0.74351,0.72272,0.62111,0.62037,0.21233,2.16615,1.24341,0.7547,0.000492726,0.000492726,0.000492726
83,1072,2.17322,1.16584,0.74395,0.72857,0.62408,0.62682,0.21836,2.13164,1.23683,0.7534,0.000470807,0.000470807,0.000470807
84,1084.81,2.16312,1.13659,0.74167,0.71706,0.63113,0.61748,0.21526,2.14936,1.23329,0.75558,0.000449258,0.000449258,0.000449258
85,1097.69,2.17768,1.14872,0.7452,0.72173,0.61929,0.62811,0.22023,2.14176,1.23951,0.75423,0.000428093,0.000428093,0.000428093
86,1110.52,2.18135,1.1428,0.73799,0.73522,0.6379,0.63879,0.22183,2.13848,1.22616,0.75292,0.000407326,0.000407326,0.000407326
87,1123.4,2.18593,1.1307,0.73776,0.72138,0.62792,0.61951,0.21619,2.15916,1.23124,0.75396,0.000386973,0.000386973,0.000386973
88,1136.29,2.16784,1.13687,0.73793,0.73486,0.61591,0.62868,0.21932,2.14218,1.23124,0.7533,0.000367046,0.000367046,0.000367046
89,1149.09,2.15089,1.12734,0.74236,0.73675,0.62823,0.6342,0.22016,2.15786,1.21716,0.75386,0.000347561,0.000347561,0.000347561
90,1161.84,2.13397,1.11888,0.74552,0.73321,0.61732,0.62823,0.21698,2.14737,1.24128,0.75539,0.000328529,0.000328529,0.000328529
91,1174.55,2.14442,1.13433,0.74207,0.72466,0.61751,0.61786,0.21241,2.17937,1.24202,0.75783,0.000309964,0.000309964,0.000309964
92,1187.17,2.13857,1.11983,0.73647,0.73342,0.63619,0.63273,0.22339,2.13756,1.22339,0.75373,0.000291879,0.000291879,0.000291879
93,1200.05,2.13289,1.12531,0.73975,0.71959,0.62634,0.62402,0.21662,2.15977,1.23593,0.75732,0.000274287,0.000274287,0.000274287
94,1212.95,2.12819,1.12349,0.74156,0.73415,0.62803,0.63284,0.22461,2.13345,1.20983,0.75276,0.000257198,0.000257198,0.000257198
95,1225.97,2.12616,1.11142,0.73578,0.73617,0.62408,0.63069,0.21961,2.15794,1.21624,0.75523,0.000240625,0.000240625,0.000240625
96,1239.21,2.12596,1.10555,0.73688,0.73879,0.63172,0.63558,0.22348,2.15096,1.2118,0.75566,0.00022458,0.00022458,0.00022458
97,1252.32,2.14877,1.11405,0.73805,0.74228,0.6286,0.6333,0.22186,2.13053,1.21766,0.75369,0.000209073,0.000209073,0.000209073
98,1265.16,2.1294,1.11872,0.74035,0.73617,0.63001,0.63156,0.22002,2.13644,1.22517,0.7553,0.000194115,0.000194115,0.000194115
99,1277.89,2.10902,1.11118,0.73817,0.73996,0.63311,0.63906,0.21869,2.16016,1.22278,0.75588,0.000179716,0.000179716,0.000179716
100,1290.7,2.11227,1.12277,0.74118,0.73214,0.62512,0.62873,0.21963,2.15014,1.22255,0.75579,0.000165886,0.000165886,0.000165886
101,1303.53,2.12281,1.1198,0.73705,0.73602,0.62826,0.63271,0.21932,2.14698,1.22582,0.75472,0.000152635,0.000152635,0.000152635
102,1316.48,2.13221,1.11052,0.73716,0.7381,0.63105,0.63418,0.21922,2.14996,1.22131,0.75532,0.000139971,0.000139971,0.000139971
103,1329.24,2.10263,1.11248,0.74304,0.74846,0.63437,0.64432,0.22455,2.14216,1.21131,0.75277,0.000127904,0.000127904,0.000127904
104,1342.03,2.10781,1.1031,0.73913,0.74646,0.64513,0.64534,0.22447,2.14865,1.19869,0.75182,0.000116441,0.000116441,0.000116441
105,1354.86,2.09246,1.10243,0.74423,0.73956,0.63103,0.63039,0.22161,2.15416,1.20831,0.7527,0.00010559,0.00010559,0.00010559
106,1378.36,2.02001,1.07562,0.7543,0.72733,0.62634,0.61873,0.21315,2.17331,1.22997,0.75951,9.53593e-05,9.53593e-05,9.53593e-05
107,1390.76,1.97221,1.07841,0.75724,0.73382,0.63053,0.6325,0.21901,2.15531,1.21118,0.75516,8.57554e-05,8.57554e-05,8.57554e-05
108,1402.79,1.97311,1.07826,0.75569,0.72965,0.63781,0.63392,0.2187,2.15686,1.21099,0.75634,7.67849e-05,7.67849e-05,7.67849e-05
109,1414.86,1.98588,1.07727,0.75218,0.72971,0.63573,0.63059,0.21618,2.1706,1.22139,0.75758,6.8454e-05,6.8454e-05,6.8454e-05
110,1426.92,1.9611,1.07198,0.75652,0.73933,0.64298,0.64382,0.2192,2.15516,1.21303,0.75602,6.07685e-05,6.07685e-05,6.07685e-05
111,1439.01,1.96047,1.07611,0.75689,0.73381,0.63536,0.63473,0.21992,2.15388,1.2129,0.75615,5.37334e-05,5.37334e-05,5.37334e-05
112,1451.12,1.96354,1.06402,0.74989,0.73544,0.63735,0.63507,0.21958,2.15291,1.21242,0.75604,4.73538e-05,4.73538e-05,4.73538e-05
113,1463.34,1.97669,1.06936,0.75494,0.74261,0.63424,0.63824,0.22149,2.1502,1.20274,0.75415,4.16339e-05,4.16339e-05,4.16339e-05
114,1475.86,1.9426,1.06107,0.75655,0.73915,0.63649,0.63725,0.2206,2.14737,1.20796,0.75496,3.65776e-05,3.65776e-05,3.65776e-05
115,1488.81,1.93931,1.0631,0.75843,0.73395,0.63226,0.63127,0.21903,2.15142,1.20847,0.75579,3.21885e-05,3.21885e-05,3.21885e-05
116,1501.2,1.96926,1.05503,0.74715,0.7398,0.63824,0.63825,0.22268,2.14909,1.20254,0.7546,2.84696e-05,2.84696e-05,2.84696e-05
117,1513.41,1.95313,1.0497,0.74692,0.73291,0.63611,0.6357,0.22023,2.15566,1.20738,0.75548,2.54233e-05,2.54233e-05,2.54233e-05
118,1525.68,1.93376,1.05172,0.75313,0.73833,0.63649,0.63758,0.22136,2.1495,1.20539,0.75498,2.30518e-05,2.30518e-05,2.30518e-05
119,1537.89,1.95681,1.04973,0.74745,0.73583,0.63649,0.6392,0.22023,2.15258,1.20802,0.75569,2.13568e-05,2.13568e-05,2.13568e-05
120,1550.17,1.95016,1.05366,0.74865,0.73228,0.63057,0.63123,0.21954,2.15103,1.20886,0.7553,2.03392e-05,2.03392e-05,2.03392e-05
