epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13720.9,1.44005,0.80637,0.85259,0.85612,0.83697,0.88123,0.56241,1.4598,0.90739,0.88355,0.00180169,0.00180169,0.00180169
43,14058.2,1.43128,0.79815,0.85671,0.85273,0.82949,0.87838,0.55803,1.47419,0.90352,0.88191,0.00179225,0.00179225,0.00179225
44,14390,1.47734,0.81346,0.86001,0.86066,0.83544,0.88192,0.55305,1.50219,0.89744,0.89092,0.00178263,0.00178263,0.00178263
45,14719.2,1.447,0.80294,0.85658,0.84761,0.83107,0.87295,0.52416,1.60822,0.92375,0.90911,0.00177281,0.00177281,0.00177281
46,15063.4,1.45849,0.82044,0.85655,0.87185,0.83354,0.88499,0.55691,1.47539,0.91141,0.8836,0.0017628,0.0017628,0.0017628
47,15404,1.41308,0.79668,0.85516,0.85934,0.83219,0.8795,0.55201,1.50554,0.91791,0.88814,0.00175261,0.00175261,0.00175261
48,15739.1,1.44024,0.81833,0.85752,0.86136,0.83533,0.88213,0.56021,1.46231,0.90717,0.88178,0.00174223,0.00174223,0.00174223
49,16055.2,1.45269,0.80912,0.85926,0.87346,0.83966,0.88713,0.56783,1.45946,0.89708,0.88451,0.00173168,0.00173168,0.00173168
50,16371.6,1.43401,0.80385,0.8611,0.85859,0.83787,0.88289,0.55944,1.47658,0.89942,0.88502,0.00172095,0.00172095,0.00172095
51,16680.5,1.49152,0.82063,0.86112,0.83448,0.81109,0.85375,0.46658,1.8655,0.95578,0.96784,0.00171004,0.00171004,0.00171004
52,17022.8,1.42492,0.78909,0.85886,0.85554,0.83946,0.88119,0.54753,1.51676,0.90869,0.8909,0.00169895,0.00169895,0.00169895
53,17344.3,1.44712,0.79519,0.85317,0.86925,0.83363,0.88579,0.56884,1.44576,0.88524,0.88008,0.0016877,0.0016877,0.0016877
54,17663.3,1.43822,0.78928,0.86003,0.8607,0.84238,0.88517,0.5649,1.47415,0.88876,0.8832,0.00167628,0.00167628,0.00167628
55,17986.9,1.43284,0.7901,0.85407,0.85995,0.83544,0.88144,0.5661,1.4576,0.88372,0.88197,0.0016647,0.0016647,0.0016647
